table_abbrev,spec,sample,outcome,column,algorithm_coefficient,significance_stars,algorithm_standard_error,n,r2,source_file
"20 bins of pred evasion + LTU/Medium only","Predicted-evasion 20-bin controls","LTU and medium tax centers only","Evasion / Days Working (Self-Reported)","8","-0.26","","0.39","31","0.90","table5_fullaudits_yhatrf_20bins_control_ltu_medium.tex"
"20 bins of pred evasion + only 2018/2019","Predicted-evasion 20-bin controls","Selection years 2018/2019 only","Number of Agents","1","-0.12","","0.07","407","0.54","table5_fullaudits_yhatrf_20bins_control_selectionyear_2018_2019.tex"
"20 bins of pred evasion + only 2018/2019","Predicted-evasion 20-bin controls","Selection years 2018/2019 only","Duration in Days (Taxpayer Survey)","2","-11.73","","10.61","85","0.46","table5_fullaudits_yhatrf_20bins_control_selectionyear_2018_2019.tex"
"20 bins of pred evasion + only 2018/2019","Predicted-evasion 20-bin controls","Selection years 2018/2019 only","Days from Start to Conf. (Admin Data)","3","-25.38","","16.28","243","0.34","table5_fullaudits_yhatrf_20bins_control_selectionyear_2018_2019.tex"
"20 bins of pred evasion + only 2018/2019","Predicted-evasion 20-bin controls","Selection years 2018/2019 only","Days Working on Case (Self-Reported)","4","6.75","","26.86","51","0.68","table5_fullaudits_yhatrf_20bins_control_selectionyear_2018_2019.tex"
"20 bins of pred evasion + only 2018/2019","Predicted-evasion 20-bin controls","Selection years 2018/2019 only","Evasion / Number of Agents","5","0.07","","0.13","359","0.77","table5_fullaudits_yhatrf_20bins_control_selectionyear_2018_2019.tex"
"20 bins of pred evasion + only 2018/2019","Predicted-evasion 20-bin controls","Selection years 2018/2019 only","Evasion / Duration (Taxpayer Survey)","6","0.69","","0.46","53","0.86","table5_fullaudits_yhatrf_20bins_control_selectionyear_2018_2019.tex"
"20 bins of pred evasion + only 2018/2019","Predicted-evasion 20-bin controls","Selection years 2018/2019 only","Evasion / Duration (Admin Data)","7","-0.01","","0.20","215","0.73","table5_fullaudits_yhatrf_20bins_control_selectionyear_2018_2019.tex"
"20 bins of pred evasion + only 2018/2019","Predicted-evasion 20-bin controls","Selection years 2018/2019 only","Evasion / Days Working (Self-Reported)","8","-0.48","","0.37","40","0.81","table5_fullaudits_yhatrf_20bins_control_selectionyear_2018_2019.tex"
"40 bins of pred evasion","Predicted-evasion 40-bin controls","Full sample","Number of Agents","1","-0.15","**","0.07","508","0.52","table5_fullaudits_yhatrf_40bins_control.tex"
"40 bins of pred evasion","Predicted-evasion 40-bin controls","Full sample","Duration in Days (Taxpayer Survey)","2","-5.19","","4.85","214","0.41","table5_fullaudits_yhatrf_40bins_control.tex"
"40 bins of pred evasion","Predicted-evasion 40-bin controls","Full sample","Days from Start to Conf. (Admin Data)","3","-20.63","","14.74","282","0.40","table5_fullaudits_yhatrf_40bins_control.tex"
"40 bins of pred evasion","Predicted-evasion 40-bin controls","Full sample","Days Working on Case (Self-Reported)","4","-18.77","","52.43","51","0.88","table5_fullaudits_yhatrf_40bins_control.tex"
"40 bins of pred evasion","Predicted-evasion 40-bin controls","Full sample","Evasion / Number of Agents","5","0.24","**","0.12","457","0.78","table5_fullaudits_yhatrf_40bins_control.tex"
"40 bins of pred evasion","Predicted-evasion 40-bin controls","Full sample","Evasion / Duration (Taxpayer Survey)","6","0.77","**","0.36","98","0.84","table5_fullaudits_yhatrf_40bins_control.tex"
"40 bins of pred evasion","Predicted-evasion 40-bin controls","Full sample","Evasion / Duration (Admin Data)","7","0.17","","0.17","253","0.77","table5_fullaudits_yhatrf_40bins_control.tex"
"40 bins of pred evasion","Predicted-evasion 40-bin controls","Full sample","Evasion / Days Working (Self-Reported)","8","0.39","",".","40","0.91","table5_fullaudits_yhatrf_40bins_control.tex"
"40 bins of pred evasion + LTU/Medium only","Predicted-evasion 40-bin controls","LTU and medium tax centers only","Number of Agents","1","-0.20","***","0.08","413","0.49","table5_fullaudits_yhatrf_40bins_control_ltu_medium.tex"
"40 bins of pred evasion + LTU/Medium only","Predicted-evasion 40-bin controls","LTU and medium tax centers only","Duration in Days (Taxpayer Survey)","2","-5.40","","5.63","167","0.40","table5_fullaudits_yhatrf_40bins_control_ltu_medium.tex"
"40 bins of pred evasion + LTU/Medium only","Predicted-evasion 40-bin controls","LTU and medium tax centers only","Days from Start to Conf. (Admin Data)","3","-18.13","","16.09","252","0.41","table5_fullaudits_yhatrf_40bins_control_ltu_medium.tex"
"40 bins of pred evasion + LTU/Medium only","Predicted-evasion 40-bin controls","LTU and medium tax centers only","Days Working on Case (Self-Reported)","4","-73.29","","47.64","37","0.89","table5_fullaudits_yhatrf_40bins_control_ltu_medium.tex"
"40 bins of pred evasion + LTU/Medium only","Predicted-evasion 40-bin controls","LTU and medium tax centers only","Evasion / Number of Agents","5","0.24","**","0.12","377","0.79","table5_fullaudits_yhatrf_40bins_control_ltu_medium.tex"
"40 bins of pred evasion + LTU/Medium only","Predicted-evasion 40-bin controls","LTU and medium tax centers only","Evasion / Duration (Taxpayer Survey)","6","1.02","***","0.33","88","0.89","table5_fullaudits_yhatrf_40bins_control_ltu_medium.tex"
"40 bins of pred evasion + LTU/Medium only","Predicted-evasion 40-bin controls","LTU and medium tax centers only","Evasion / Duration (Admin Data)","7","0.32","*","0.17","228","0.77","table5_fullaudits_yhatrf_40bins_control_ltu_medium.tex"
"40 bins of pred evasion + LTU/Medium only","Predicted-evasion 40-bin controls","LTU and medium tax centers only","Evasion / Days Working (Self-Reported)","8","0.59","",".","31","0.95","table5_fullaudits_yhatrf_40bins_control_ltu_medium.tex"
"40 bins of pred evasion + only 2018/2019","Predicted-evasion 40-bin controls","Selection years 2018/2019 only","Number of Agents","1","-0.12","","0.08","407","0.55","table5_fullaudits_yhatrf_40bins_control_selectionyear_2018_2019.tex"
"40 bins of pred evasion + only 2018/2019","Predicted-evasion 40-bin controls","Selection years 2018/2019 only","Duration in Days (Taxpayer Survey)","2","-14.36","","15.81","85","0.54","table5_fullaudits_yhatrf_40bins_control_selectionyear_2018_2019.tex"
"40 bins of pred evasion + only 2018/2019","Predicted-evasion 40-bin controls","Selection years 2018/2019 only","Days from Start to Conf. (Admin Data)","3","-17.04","","16.11","243","0.41","table5_fullaudits_yhatrf_40bins_control_selectionyear_2018_2019.tex"
"40 bins of pred evasion + only 2018/2019","Predicted-evasion 40-bin controls","Selection years 2018/2019 only","Days Working on Case (Self-Reported)","4","-18.77","","52.43","51","0.88","table5_fullaudits_yhatrf_40bins_control_selectionyear_2018_2019.tex"
"40 bins of pred evasion + only 2018/2019","Predicted-evasion 40-bin controls","Selection years 2018/2019 only","Evasion / Number of Agents","5","0.11","","0.14","359","0.78","table5_fullaudits_yhatrf_40bins_control_selectionyear_2018_2019.tex"
"40 bins of pred evasion + only 2018/2019","Predicted-evasion 40-bin controls","Selection years 2018/2019 only","Evasion / Duration (Taxpayer Survey)","6","0.12","","0.74","53","0.95","table5_fullaudits_yhatrf_40bins_control_selectionyear_2018_2019.tex"
"40 bins of pred evasion + only 2018/2019","Predicted-evasion 40-bin controls","Selection years 2018/2019 only","Evasion / Duration (Admin Data)","7","0.01","","0.19","215","0.78","table5_fullaudits_yhatrf_40bins_control_selectionyear_2018_2019.tex"
"40 bins of pred evasion + only 2018/2019","Predicted-evasion 40-bin controls","Selection years 2018/2019 only","Evasion / Days Working (Self-Reported)","8","0.39","",".","40","0.91","table5_fullaudits_yhatrf_40bins_control_selectionyear_2018_2019.tex"
"50 bins of pred evasion","Predicted-evasion 50-bin controls","Full sample","Number of Agents","1","-0.15","**","0.07","508","0.53","table5_fullaudits_yhatrf_50bins_control.tex"
"50 bins of pred evasion","Predicted-evasion 50-bin controls","Full sample","Duration in Days (Taxpayer Survey)","2","-4.02","","5.28","214","0.42","table5_fullaudits_yhatrf_50bins_control.tex"
"50 bins of pred evasion","Predicted-evasion 50-bin controls","Full sample","Days from Start to Conf. (Admin Data)","3","-18.37","","15.61","282","0.44","table5_fullaudits_yhatrf_50bins_control.tex"
"50 bins of pred evasion","Predicted-evasion 50-bin controls","Full sample","Days Working on Case (Self-Reported)","4","-5.66","","29.87","51","0.89","table5_fullaudits_yhatrf_50bins_control.tex"
"50 bins of pred evasion","Predicted-evasion 50-bin controls","Full sample","Evasion / Number of Agents","5","0.26","**","0.11","457","0.79","table5_fullaudits_yhatrf_50bins_control.tex"
"50 bins of pred evasion","Predicted-evasion 50-bin controls","Full sample","Evasion / Duration (Taxpayer Survey)","6","0.82","","0.51","98","0.83","table5_fullaudits_yhatrf_50bins_control.tex"
"50 bins of pred evasion","Predicted-evasion 50-bin controls","Full sample","Evasion / Duration (Admin Data)","7","0.18","","0.19","253","0.77","table5_fullaudits_yhatrf_50bins_control.tex"
"50 bins of pred evasion","Predicted-evasion 50-bin controls","Full sample","Evasion / Days Working (Self-Reported)","8","-0.00","",".","40","0.94","table5_fullaudits_yhatrf_50bins_control.tex"
"50 bins of pred evasion + LTU/Medium only","Predicted-evasion 50-bin controls","LTU and medium tax centers only","Number of Agents","1","-0.21","***","0.08","413","0.50","table5_fullaudits_yhatrf_50bins_control_ltu_medium.tex"
"50 bins of pred evasion + LTU/Medium only","Predicted-evasion 50-bin controls","LTU and medium tax centers only","Duration in Days (Taxpayer Survey)","2","-3.43","","6.11","167","0.42","table5_fullaudits_yhatrf_50bins_control_ltu_medium.tex"
