table_abbrev,spec,sample,outcome,model_column,algorithm_coefficient,significance_stars,algorithm_standard_error,n,r2,source_file
"quintiles of pred evasion + only 2018/2019","Predicted-evasion quintile controls","Selection years 2018/2019 only","log(Evasion) | Detection","6","-0.112","","0.148","359","0.749","table8_fullaudits_yhatrf_quintiles_control_selectionyear_2018_2019.tex"
"top split of pred evasion","Predicted-evasion top-split controls","Full sample","P(Execution)","6","-0.074","**","0.029","944","0.400","table8_fullaudits_yhatrf_topsplit_control.tex"
"top split of pred evasion","Predicted-evasion top-split controls","Full sample","P(Detection | Execution)","6","0.037","**","0.017","508","0.767","table8_fullaudits_yhatrf_topsplit_control.tex"
"top split of pred evasion","Predicted-evasion top-split controls","Full sample","log(Evasion) | Detection","6","0.049","","0.118","457","0.786","table8_fullaudits_yhatrf_topsplit_control.tex"
"top split of pred evasion + LTU/Medium only","Predicted-evasion top-split controls","LTU and medium tax centers only","P(Execution)","6","-0.061","*","0.034","704","0.390","table8_fullaudits_yhatrf_topsplit_control_ltu_medium.tex"
"top split of pred evasion + LTU/Medium only","Predicted-evasion top-split controls","LTU and medium tax centers only","P(Detection | Execution)","6","0.039","**","0.019","413","0.756","table8_fullaudits_yhatrf_topsplit_control_ltu_medium.tex"
"top split of pred evasion + LTU/Medium only","Predicted-evasion top-split controls","LTU and medium tax centers only","log(Evasion) | Detection","6","0.022","","0.125","377","0.792","table8_fullaudits_yhatrf_topsplit_control_ltu_medium.tex"
"top split of pred evasion + only 2018/2019","Predicted-evasion top-split controls","Selection years 2018/2019 only","P(Execution)","6","-0.058","","0.036","646","0.359","table8_fullaudits_yhatrf_topsplit_control_selectionyear_2018_2019.tex"
"top split of pred evasion + only 2018/2019","Predicted-evasion top-split controls","Selection years 2018/2019 only","P(Detection | Execution)","6","0.048","**","0.019","407","0.778","table8_fullaudits_yhatrf_topsplit_control_selectionyear_2018_2019.tex"
"top split of pred evasion + only 2018/2019","Predicted-evasion top-split controls","Selection years 2018/2019 only","log(Evasion) | Detection","6","-0.082","","0.141","359","0.782","table8_fullaudits_yhatrf_topsplit_control_selectionyear_2018_2019.tex"
