table_abbrev,spec,sample,panel,outcome,column,algorithm_coefficient,significance_stars,algorithm_standard_error,n,r2,source_file
"linear pred evasion + only 2018/2019","Linear predicted-evasion control","Selection years 2018/2019 only","B: Only Audited Firms (as per Administrative Audit Data)","Efficiency Index","1","0.17","","0.27","43","0.07","table6_indices_yhatrf_control_selectionyear_2018_2019.tex"
"linear pred evasion + only 2018/2019","Linear predicted-evasion control","Selection years 2018/2019 only","B: Only Audited Firms (as per Administrative Audit Data)","Corruption Index","4","-0.11","","0.25","42","0.21","table6_indices_yhatrf_control_selectionyear_2018_2019.tex"
"deciles of pred evasion","Predicted-evasion decile controls","Full sample","A: Surveyed Firms (Self-Reporting a Recent Audit)","Efficiency Index","1","-0.34","**","0.16","199","0.12","table6_indices_yhatrf_deciles_control.tex"
"deciles of pred evasion","Predicted-evasion decile controls","Full sample","A: Surveyed Firms (Self-Reporting a Recent Audit)","Corruption Index","4","-0.01","","0.16","199","0.16","table6_indices_yhatrf_deciles_control.tex"
"deciles of pred evasion","Predicted-evasion decile controls","Full sample","B: Only Audited Firms (as per Administrative Audit Data)","Efficiency Index","1","-0.22","","0.25","89","0.24","table6_indices_yhatrf_deciles_control.tex"
"deciles of pred evasion","Predicted-evasion decile controls","Full sample","B: Only Audited Firms (as per Administrative Audit Data)","Corruption Index","4","0.21","","0.25","88","0.24","table6_indices_yhatrf_deciles_control.tex"
"deciles of pred evasion + LTU/Medium only","Predicted-evasion decile controls","LTU and medium tax centers only","A: Surveyed Firms (Self-Reporting a Recent Audit)","Efficiency Index","1","-0.43","**","0.20","149","0.16","table6_indices_yhatrf_deciles_control_ltu_medium.tex"
"deciles of pred evasion + LTU/Medium only","Predicted-evasion decile controls","LTU and medium tax centers only","A: Surveyed Firms (Self-Reporting a Recent Audit)","Corruption Index","4","-0.07","","0.18","148","0.18","table6_indices_yhatrf_deciles_control_ltu_medium.tex"
"deciles of pred evasion + LTU/Medium only","Predicted-evasion decile controls","LTU and medium tax centers only","B: Only Audited Firms (as per Administrative Audit Data)","Efficiency Index","1","-0.27","","0.27","78","0.26","table6_indices_yhatrf_deciles_control_ltu_medium.tex"
"deciles of pred evasion + LTU/Medium only","Predicted-evasion decile controls","LTU and medium tax centers only","B: Only Audited Firms (as per Administrative Audit Data)","Corruption Index","4","0.15","","0.28","77","0.22","table6_indices_yhatrf_deciles_control_ltu_medium.tex"
"deciles of pred evasion + only 2018/2019","Predicted-evasion decile controls","Selection years 2018/2019 only","A: Surveyed Firms (Self-Reporting a Recent Audit)","Efficiency Index","1","0.01","","0.29","68","0.20","table6_indices_yhatrf_deciles_control_selectionyear_2018_2019.tex"
"deciles of pred evasion + only 2018/2019","Predicted-evasion decile controls","Selection years 2018/2019 only","A: Surveyed Firms (Self-Reporting a Recent Audit)","Corruption Index","4","-0.06","","0.24","68","0.39","table6_indices_yhatrf_deciles_control_selectionyear_2018_2019.tex"
"deciles of pred evasion + only 2018/2019","Predicted-evasion decile controls","Selection years 2018/2019 only","B: Only Audited Firms (as per Administrative Audit Data)","Efficiency Index","1","0.56","","0.34","43","0.32","table6_indices_yhatrf_deciles_control_selectionyear_2018_2019.tex"
"deciles of pred evasion + only 2018/2019","Predicted-evasion decile controls","Selection years 2018/2019 only","B: Only Audited Firms (as per Administrative Audit Data)","Corruption Index","4","-0.29","","0.34","42","0.28","table6_indices_yhatrf_deciles_control_selectionyear_2018_2019.tex"
"quadratic pred evasion","Linear and quadratic predicted-evasion controls","Full sample","A: Surveyed Firms (Self-Reporting a Recent Audit)","Efficiency Index","1","-0.39","**","0.16","199","0.10","table6_indices_yhatrf_quadratic_control.tex"
"quadratic pred evasion","Linear and quadratic predicted-evasion controls","Full sample","A: Surveyed Firms (Self-Reporting a Recent Audit)","Corruption Index","4","-0.02","","0.15","199","0.12","table6_indices_yhatrf_quadratic_control.tex"
"quadratic pred evasion","Linear and quadratic predicted-evasion controls","Full sample","B: Only Audited Firms (as per Administrative Audit Data)","Efficiency Index","1","-0.39","","0.27","89","0.11","table6_indices_yhatrf_quadratic_control.tex"
"quadratic pred evasion","Linear and quadratic predicted-evasion controls","Full sample","B: Only Audited Firms (as per Administrative Audit Data)","Corruption Index","4","0.33","","0.25","88","0.18","table6_indices_yhatrf_quadratic_control.tex"
"quadratic pred evasion + LTU/Medium only","Linear and quadratic predicted-evasion controls","LTU and medium tax centers only","A: Surveyed Firms (Self-Reporting a Recent Audit)","Efficiency Index","1","-0.58","***","0.19","149","0.12","table6_indices_yhatrf_quadratic_control_ltu_medium.tex"
"quadratic pred evasion + LTU/Medium only","Linear and quadratic predicted-evasion controls","LTU and medium tax centers only","A: Surveyed Firms (Self-Reporting a Recent Audit)","Corruption Index","4","-0.07","","0.18","148","0.11","table6_indices_yhatrf_quadratic_control_ltu_medium.tex"
"quadratic pred evasion + LTU/Medium only","Linear and quadratic predicted-evasion controls","LTU and medium tax centers only","B: Only Audited Firms (as per Administrative Audit Data)","Efficiency Index","1","-0.57","*","0.29","78","0.13","table6_indices_yhatrf_quadratic_control_ltu_medium.tex"
"quadratic pred evasion + LTU/Medium only","Linear and quadratic predicted-evasion controls","LTU and medium tax centers only","B: Only Audited Firms (as per Administrative Audit Data)","Corruption Index","4","0.37","","0.27","77","0.14","table6_indices_yhatrf_quadratic_control_ltu_medium.tex"
"quadratic pred evasion + only 2018/2019","Linear and quadratic predicted-evasion controls","Selection years 2018/2019 only","A: Surveyed Firms (Self-Reporting a Recent Audit)","Efficiency Index","1","-0.06","","0.26","68","0.13","table6_indices_yhatrf_quadratic_control_selectionyear_2018_2019.tex"
"quadratic pred evasion + only 2018/2019","Linear and quadratic predicted-evasion controls","Selection years 2018/2019 only","A: Surveyed Firms (Self-Reporting a Recent Audit)","Corruption Index","4","-0.03","","0.25","68","0.22","table6_indices_yhatrf_quadratic_control_selectionyear_2018_2019.tex"
"quadratic pred evasion + only 2018/2019","Linear and quadratic predicted-evasion controls","Selection years 2018/2019 only","B: Only Audited Firms (as per Administrative Audit Data)","Efficiency Index","1","0.02","","0.29","43","0.14","table6_indices_yhatrf_quadratic_control_selectionyear_2018_2019.tex"
"quadratic pred evasion + only 2018/2019","Linear and quadratic predicted-evasion controls","Selection years 2018/2019 only","B: Only Audited Firms (as per Administrative Audit Data)","Corruption Index","4","-0.01","","0.28","42","0.25","table6_indices_yhatrf_quadratic_control_selectionyear_2018_2019.tex"
"quintiles of pred evasion","Predicted-evasion quintile controls","Full sample","A: Surveyed Firms (Self-Reporting a Recent Audit)","Efficiency Index","1","-0.39","**","0.16","199","0.11","table6_indices_yhatrf_quintiles_control.tex"
"quintiles of pred evasion","Predicted-evasion quintile controls","Full sample","A: Surveyed Firms (Self-Reporting a Recent Audit)","Corruption Index","4","-0.03","","0.15","199","0.15","table6_indices_yhatrf_quintiles_control.tex"
"quintiles of pred evasion","Predicted-evasion quintile controls","Full sample","B: Only Audited Firms (as per Administrative Audit Data)","Efficiency Index","1","-0.23","","0.27","89","0.14","table6_indices_yhatrf_quintiles_control.tex"
"quintiles of pred evasion","Predicted-evasion quintile controls","Full sample","B: Only Audited Firms (as per Administrative Audit Data)","Corruption Index","4","0.22","","0.25","88","0.19","table6_indices_yhatrf_quintiles_control.tex"
"quintiles of pred evasion + LTU/Medium only","Predicted-evasion quintile controls","LTU and medium tax centers only","A: Surveyed Firms (Self-Reporting a Recent Audit)","Efficiency Index","1","-0.48","**","0.19","149","0.14","table6_indices_yhatrf_quintiles_control_ltu_medium.tex"
"quintiles of pred evasion + LTU/Medium only","Predicted-evasion quintile controls","LTU and medium tax centers only","A: Surveyed Firms (Self-Reporting a Recent Audit)","Corruption Index","4","-0.07","","0.18","148","0.17","table6_indices_yhatrf_quintiles_control_ltu_medium.tex"
"quintiles of pred evasion + LTU/Medium only","Predicted-evasion quintile controls","LTU and medium tax centers only","B: Only Audited Firms (as per Administrative Audit Data)","Efficiency Index","1","-0.32","","0.28","78","0.15","table6_indices_yhatrf_quintiles_control_ltu_medium.tex"
"quintiles of pred evasion + LTU/Medium only","Predicted-evasion quintile controls","LTU and medium tax centers only","B: Only Audited Firms (as per Administrative Audit Data)","Corruption Index","4","0.18","","0.28","77","0.16","table6_indices_yhatrf_quintiles_control_ltu_medium.tex"
"quintiles of pred evasion + only 2018/2019","Predicted-evasion quintile controls","Selection years 2018/2019 only","A: Surveyed Firms (Self-Reporting a Recent Audit)","Efficiency Index","1","-0.05","","0.27","68","0.14","table6_indices_yhatrf_quintiles_control_selectionyear_2018_2019.tex"
"quintiles of pred evasion + only 2018/2019","Predicted-evasion quintile controls","Selection years 2018/2019 only","A: Surveyed Firms (Self-Reporting a Recent Audit)","Corruption Index","4","-0.11","","0.23","68","0.34","table6_indices_yhatrf_quintiles_control_selectionyear_2018_2019.tex"
"quintiles of pred evasion + only 2018/2019","Predicted-evasion quintile controls","Selection years 2018/2019 only","B: Only Audited Firms (as per Administrative Audit Data)","Efficiency Index","1","0.34","","0.32","43","0.18","table6_indices_yhatrf_quintiles_control_selectionyear_2018_2019.tex"
"quintiles of pred evasion + only 2018/2019","Predicted-evasion quintile controls","Selection years 2018/2019 only","B: Only Audited Firms (as per Administrative Audit Data)","Corruption Index","4","-0.26","","0.27","42","0.26","table6_indices_yhatrf_quintiles_control_selectionyear_2018_2019.tex"
"top split of pred evasion","Predicted-evasion top-split controls","Full sample","A: Surveyed Firms (Self-Reporting a Recent Audit)","Efficiency Index","1","-0.33","**","0.16","199","0.13","table6_indices_yhatrf_topsplit_control.tex"
"top split of pred evasion","Predicted-evasion top-split controls","Full sample","A: Surveyed Firms (Self-Reporting a Recent Audit)","Corruption Index","4","-0.01","","0.16","199","0.19","table6_indices_yhatrf_topsplit_control.tex"
"top split of pred evasion","Predicted-evasion top-split controls","Full sample","B: Only Audited Firms (as per Administrative Audit Data)","Efficiency Index","1","-0.21","","0.26","89","0.25","table6_indices_yhatrf_topsplit_control.tex"
"top split of pred evasion","Predicted-evasion top-split controls","Full sample","B: Only Audited Firms (as per Administrative Audit Data)","Corruption Index","4","0.19","","0.25","88","0.25","table6_indices_yhatrf_topsplit_control.tex"
"top split of pred evasion + LTU/Medium only","Predicted-evasion top-split controls","LTU and medium tax centers only","A: Surveyed Firms (Self-Reporting a Recent Audit)","Efficiency Index","1","-0.44","**","0.20","149","0.16","table6_indices_yhatrf_topsplit_control_ltu_medium.tex"
"top split of pred evasion + LTU/Medium only","Predicted-evasion top-split controls","LTU and medium tax centers only","A: Surveyed Firms (Self-Reporting a Recent Audit)","Corruption Index","4","-0.07","","0.18","148","0.20","table6_indices_yhatrf_topsplit_control_ltu_medium.tex"
"top split of pred evasion + LTU/Medium only","Predicted-evasion top-split controls","LTU and medium tax centers only","B: Only Audited Firms (as per Administrative Audit Data)","Efficiency Index","1","-0.28","","0.27","78","0.26","table6_indices_yhatrf_topsplit_control_ltu_medium.tex"
"top split of pred evasion + LTU/Medium only","Predicted-evasion top-split controls","LTU and medium tax centers only","B: Only Audited Firms (as per Administrative Audit Data)","Corruption Index","4","0.17","","0.28","77","0.24","table6_indices_yhatrf_topsplit_control_ltu_medium.tex"
